name,short_name,from,to,team_id
Atlanta Hawks,ATL,1968-07-31,,1610612737
St. Louis Hawks,STL,1955-07-31,1968-08-01,1610612737
Milwaukee Hawks,MIH,1951-07-31,1955-08-01,1610612737
Tri-Cities Blackhawks,TCB,1949-07-31,1951-08-01,1610612737
Boston Celtics,BOS,1946-07-31,,1610612738
Brooklyn Nets,BKN,2012-07-31,,1610612751
New Jersey Nets,NJN,1977-07-31,2012-08-01,1610612751
New York Nets,NYN,1976-07-31,1977-08-01,1610612751
Charlotte Hornets,CHA,2014-07-31,,1610612766
Charlotte Bobcats,CHA,2004-07-31,2014-08-01,1610612766
Charlotte Hornets,CHH,1988-07-31,2002-08-01,1610612766
Chicago Bulls,CHI,1966-07-31,,1610612741
Cleveland Cavaliers,CLE,1970-07-31,,1610612739
Dallas Mavericks,DAL,1980-07-31,,1610612742
Denver Nuggets,DEN,1976-07-31,,1610612743
Detroit Pistons,DET,1957-07-31,,1610612765
Fort Wayne Pistons,FWP,1948-07-31,1957-08-01,1610612765
Golden State Warriors,GSW,1971-07-31,,1610612744
San Francisco Warriors,SFW,1962-07-31,1971-08-01,1610612744
Philadelphia Warriors,PHW,1946-07-31,1962-08-01,1610612744
Houston Rockets,HOU,1971-07-31,,1610612745
San Diego Rockets,SDR,1967-07-31,1971-08-01,1610612745
Indiana Pacers,IND,1976-07-31,,1610612754
Los Angeles Clippers,LAC,1984-07-31,,1610612746
San Diego Clippers,SDC,1978-07-31,1984-08-01,1610612746
Buffalo Braves,BUF,1970-07-31,1978-08-01,1610612746
Los Angeles Lakers,LAL,1960-07-31,,1610612747
Minneapolis Lakers,MNL,1948-07-31,1960-08-01,1610612747
Memphis Grizzlies,MEM,2001-07-31,,1610612763
Vancouver Grizzlies,VAN,1995-07-31,2001-08-01,1610612763
Miami Heat,MIA,1988-07-31,,1610612748
Milwaukee Bucks,MIL,1968-07-31,,1610612749
Minnesota Timberwolves,MIN,1989-07-31,,1610612750
New Orleans Pelicans,NOP,2013-07-31,,1610612740
New Orleans Hornets,NOH,2002-07-31,2013-08-01,1610612740
New York Knicks,NYK,1946-07-31,,1610612752
Oklahoma City Thunder,OKC,2008-07-31,,1610612760
Seattle SuperSonics,SEA,1967-07-31,2008-08-01,1610612760
Orlando Magic,ORL,1989-07-31,,1610612753
Philadelphia 76ers,PHI,1963-07-31,,1610612755
Syracuse Nationals,SYR,1949-07-31,1963-08-01,1610612755
Phoenix Suns,PHX,1968-07-31,,1610612756
Portland Trail Blazers,POR,1970-07-31,,1610612757
Sacramento Kings,SAC,1985-07-31,,1610612758
Kansas City Kings,KCK,1975-07-31,1985-08-01,1610612758
Kansas City-Omaha Kings,KCK,1972-07-31,1975-08-01,1610612758
Cincinnati Royals,CIN,1957-07-31,1972-08-01,1610612758
Rochester Royals,ROC,1948-07-31,1957-08-01,1610612758
San Antonio Spurs,SAS,1976-07-31,,1610612759
Toronto Raptors,TOR,1995-07-31,,1610612761
Utah Jazz,UTA,1979-07-31,,1610612762
New Orleans Jazz,NOJ,1974-07-31,1979-08-01,1610612762
Washington Wizards,WAS,1997-07-31,,1610612764
Washington Bullets,WAS,1974-07-31,1997-08-01,1610612764
Capital Bullets,CAP,1973-07-31,1974-08-01,1610612764
Baltimore Bullets,BAL,1963-07-31,1973-08-01,1610612764
Chicago Zephyrs,CHZ,1962-07-31,1963-08-01,1610612764
Chicago Packers,CHP,1961-07-31,1962-08-01,1610612764
